   id, time,  addr, rssi,  ave, lane
  223,  960, 65:02,  -73,  -75,    2
  224,  478, 65:02,  -75,  -74,    3
  225,  485, 65:02,  -75,  -75,    3
  226,  471, 65:02,  -75,  -75,    3
  227,  962, 65:02,  -73,  -74,    3
  228,  499, 65:02,  -72,  -72,    3
  229,  465, 65:02,  -72,  -72,    3
  230,  476, 65:02,  -74,  -73,    3
  231,  480, 65:02,  -73,  -73,    3
  232,  484, 65:02,  -71,  -72,    3
  233,  478, 65:02,  -73,  -72,    3
  234,  957, 65:02,  -79,  -76,    3
  235,  486, 65:02,  -79,  -79,    3
  236,  475, 65:02,  -77,  -78,    3
  237,  485, 65:02,  -70,  -73,    3
  238,  959, 65:02,  -71,  -70,    3
  239,  497, 65:02,  -78,  -74,    3
  240,  947, 65:02,  -86,  -82,    3
  241,  978, 65:02, -101,  -93,    3
  242,  459, 65:02,  -97,  -99,    3
  243,  955, 65:02,  -92,  -94,    3
  244,  482, 65:02,  -90,  -91,    3
  245,  476, 65:02,  -99,  -94,    3
  246, 2407, 65:02,  -92,  -95,    3
  247,  963, 65:02,  -97,  -94,    3
  248,  950, 65:02,  -91,  -94,    3
  249, 1443, 65:02,  -93,  -92,    3
  250,  483, 65:02,  -99,  -96,    3
  251,  489, 65:02,  -92,  -95,    3
  252,  952, 65:02,  -99,  -95,    3
  253, 1436, 65:02,  -96,  -97,    3
  254,  490, 65:02,  -97,  -96,    3
  255, 2882, 65:02,  -99,  -98,    3
  256,  484, 65:02,  -98,  -98,    3
  257, 3163, xx:xx, -120, -109,    3
  258, 3105, xx:xx, -120, -120,    3
  259,  446, 65:02,  -98, -109,    3
  260, 1439, 65:02,  -99,  -98,    3
  261, 3108, xx:xx, -120, -109,    3
  262, 1678, 65:02,  -98, -109,    3
  263, 3108, xx:xx, -120, -109,    3
  264, 3108, xx:xx, -120, -120,    3
  265, 1473, 65:02,  -96, -108,    3
  266, 3114, xx:xx, -120, -108,    3
  267,  730, 65:02,  -96, -108,    3
  268, 2880, 65:02,  -97,  -96,    3
  269,  958, 65:02,  -93,  -95,    3
  270, 1919, 65:02,  -88,  -90,    3
  271,  479, 65:02,  -91,  -89,    3
  272,  475, 65:02,  -91,  -91,    3
  273, 1469, 65:02,  -94,  -92,    3
  274,  463, 65:02,  -97,  -95,    3
  275, 3092, xx:xx, -120, -108,    3
  276, 1248, 65:02,  -99, -109,    3
  277, 1893, 65:02,  -95,  -97,    3
  278,  478, 65:02, -101,  -98,    3
  279,  514, 65:02, -101, -101,    3
  280, 2854, 65:02,  -95,  -98,    3
  281, 3094, xx:xx, -120, -107,    3
  282,  259, 65:02,  -97, -108,    3
  283,  956, 65:02,  -99,  -98,    3
  284,  505, 65:02, -101, -100,    3
  285, 2378, 65:02,  -96,  -98,    3
  286, 1916, 65:02,  -93,  -94,    3
  287, 3144, xx:xx, -120, -106,    4
  288, 1679, 65:02,  -97, -108,    4
  289, 3091, xx:xx, -120, -108,    4
  290, 3088, xx:xx, -120, -120,    4
  291, 3097, xx:xx, -120, -120,    4
  292, 3091, xx:xx, -120, -120,    4
  293, 3092, xx:xx, -120, -120,    4
  294, 1328, 65:02,  -99, -109,    4
  295, 3120, xx:xx, -120, -109,    4
  296, 1216, 65:02, -102, -111,    4
  297, 2861, 65:02,  -99, -100,    4
  298,  477, 65:02,  -94,  -96,    4
  299,  962, 65:02,  -92,  -93,    4
  300,  963, 65:02,  -98,  -95,    4
  301,  471, 65:02,  -88,  -93,    4
  302,  963, 65:02,  -92,  -90,    4
  303,  965, 65:02,  -76,  -84,    4
  304,  480, 65:02,  -82,  -79,    4
  305,  477, 65:02,  -89,  -85,    4
  306,  478, 65:02,  -86,  -87,    4
  307,  487, 65:02,  -89,  -87,    4
  308, 1916, 65:02,  -90,  -89,    4
  309,  478, 65:02,  -89,  -89,    4
  310,  480, 65:02,  -92,  -90,    4
  311, 1932, 65:02,  -96,  -94,    4
  312, 1439, 65:02,  -98,  -97,    4
  313,  948, 65:02, -101,  -99,    4
  314, 2414, 65:02, -102, -101,    4
  315,  487, 65:02,  -95,  -98,    4
  316, 3101, xx:xx, -120, -107,    4
  317, 3125, 65:02,  -96, -108,    4
  318,  477, 65:02,  -97,  -96,    4
